review,classification,confidence
Love this! Pineapple and Pear off set by smooth butter. Fantastic expression of Sauvignon Blanc and welcome departure from an acid bomb. ,talks about food combinations,0.601400316
"Great Sauvignon Blanc,  one of the best I’ve tasted with Green Apple and Honey flavors on the palate.",talks about taste,0.74237293
On the frutier side for SBs. Great taste of melon that fills the mouth. Awesome bottle design as well ,talks about taste,0.66504401
"Pale pale straw, pear and sweetness on the nose that continues on the palate. Almost tastes like a late harvest",talks about taste,0.54194653
"I saw a creamy pear comment and I feel like that was a spot on description, good first impression.  $40",talks about value for money,0.392217547
"This wine is just balanced, smooth, beautiful. Round melon, mineral, pear. It’s just delicious. Perfect Sauvignon Blanc ",talks about food combinations,0.48021251
"Definitely a tropical fruit forward, flavorful SB. Full body and concentration can stand up to rich shrimp and lobster. ",talks about food combinations,0.526357651
"Pleasant scent, light pear on the nose. Pear, hints of earth and a finish of green apple on the tongue. Light and mildly bright.",other,0.559796989
"A strange sauv Blanc, creamy and rich with a peppery finish.  A hint of sweetness.  I would have sworn it was a Viognier.",talks about taste,0.571124494
"Very good sauvignon blanc, but in american style; fuller and fruitier than the Europeans. Balance is very good though.",other,0.340594232
"This is the dream. Almost creamy on the finish, more depth than one would expect from a Sauv. Could drink this all day! ",talks about taste,0.684310615
"Hot vintage, light colour and golden green flecks.
Nose of white pineapple, sticks on the nose in a viscous lemon oil way. Savoury mixed green herbs and grilled peaches.
The palate is an equally complex attack of melon and creamy kiwi. The finish is salty and mineral focused with a slight sweet lift. The mouth feel and particularly the nose grow in breadth and weight as it opens.
A truly sublime pairing with grilled asparagus, sauce Gribiche, ham, Parmesan and lemon oil.",talks about food combinations,0.722799122
"House. Nicely balanced, feels like some oak or perhaps lees? Honeydew melon, honey, rosemary, papaya. Complex and more fruit forward / lower acid. Probably would not have guessed Sauvignon blanc. Bubblegum.  Refreshing, thirst-quenching",talks about food combinations,0.77131319
"SCOTT WHITE RECOMMENDATION

Scott has steered me to some great wines. Whispering angel rosé , Honig SB, and this. 

I cringed a bit on the price but said I’m worth it. So glad I did. 

Lots of tropical and citrus flavors with a touch of oak. Peach on the finish. 

90 point wine enthusiast. ",talks about value for money,0.701507807
"This bottle is now seven years old. I saved it because I wanted to see how it might age. It’s still gorgeous, and one of my favorite whites. Softer, rounder, fuller. Ripe Asian pear, peach, honey, a bit of butter and caramel from the oak as well. The citrus is still there, tangerine and grapefruit, but more in the background.",talks about food combinations,0.43846792
Love the spicy note sitting on top of the gooseberry awesome sauvignon blanc for Californian but expect nothing less from Merry of course.,talks about taste,0.532929957
"Fantastic sonoma sauvignon blanc with a complex profile. Flavors of  white peach, tangerine, lemon, grass, guava, pineapple, coconut, vanilla, and a hint of minerality. Oak barrel fermentation gives it a softer acidity but adds more character and a creamy texture.",talks about food combinations,0.662823856
"I found this at the back of my cellar and thought it was maybe 4 years past prime. I was surprised - it still has a lot of life left in it. Sweet palate, notes of pink grapefruit and mon zest. Mouthfeel is creamy. Bright but mellowed acidity. ",talks about taste,0.757789791
"Stop. This is the one.  Better than Lail, Cuvasion or any other California Sav Blanc.  Measure all against this near perfect wine. Pale straw in color with notes of tropical fruit and lemon zest

Light bodied with crisp fruit expression.  Acidity comes in waves with a harmonious blend of fruit making this finish clean and dry. 

The palate is white peach, honey crisp apple, with hints of lime and tart kiwi
95pts",talks about food combinations,0.534846425
What impresses me most is this is a premium Sauvignon blanc isn’t overly fruity in an way like a lot of others but it has a mellow cornucopia of fruit.  Melon strawberry honey dew blueberry.  You name it and it’s got it and it’s a little crispy but a little soft and oaky.  So excellent ,talks about taste,0.329721272
"A medium plus body SB, round, showing oak notes, lees, and more on stone fruit and tropical, high alcohol but concentrated, quite long",talks about food combinations,0.494369805
Benchmark Cali Sauv B. Balanced wine. The fruit is ripe but not overly so.,talks about food combinations,0.403305858
Awaesome white !!! Enjoy with friends !!,other,0.531243861
Oaked sauvignon blanc - really awesome combination,talks about food combinations,0.58454442
"Different for a sauv blanc, crisp but richer than normal. Very good.",other,0.578910828
Even better when drinking in Sonoma,talks about taste,0.406334758
"Great Sauvignon Blanc!!! Aromas of melon, pear, minerals. High acidity/freshness in the mouth.",talks about taste,0.372122437
"Wow… impressive robust Sauvignon Blanc … green apple, pear cotton mineral lime   Beautiful",talks about food combinations,0.452440232
Holds it's own,other,0.655572414
Really nice cab sauv,talks about taste,0.425792843
Nice and light!,other,0.383636981
citrus oak pear peach melon cream butter lemon apple honey,talks about food combinations,0.585190177
Served this wine at my wedding. A really lovely wine I’ll be drinking for years to come.,talks about taste,0.413235277
citrus oak pear lemon minerals stone grass straw banana,talks about taste,0.385732651
"So many tropical flavors with clear oak usage to provide complexity.

Pale lemon color. Grass, pear, grapefruit, green apple skin, pineapple, white blossom, and nectarine nose. Dry. High acidity. Cream, pineapple, lychee, vanilla, and lime zest.",talks about food combinations,0.507654786
"Light golden color. Nose: pear, pineapple, cotton candy & and bit of sage. Mouth: pineapple, pear, modest residual sugar, medium+ acid & a hint of bitterness. A long pear & sage finish.

ABV 14%. I think this is from the Maefield Estate Vineyard. Varietals: Sauvignon Blanc Shenandoah (Clone 1) - 67% & Sauvignon Musque- 33%. 5 mos in French oak (18% new) with batonnage 2x/wk. Definitely better after at least an hour slow-ox. Wine Spectator 95.",talks about taste,0.409427673
"Color: Light yellow
Viscosity: High
Aromas: Mango, Tropical, Guava, Honey, Pineapple, Mineral melon 
Tannins: None
Acidity: Medium
Alcohol: 14.0%.
Grape Varietal: 100% Sauvignon Blanc
Impression: Not much herbaceousness typical of Sauvignon Blanc. Tropical and easy to drink.",talks about taste,0.370996654
"Sauvignon Blanc from Russian River, Sonoma 🇺🇸 While I acknowledge this a wine with good complexity, the intense oaky aromas/flavors are overwhelming. It reminds me an oaky Chardonnay. Full-bodied with M acidity.",talks about taste,0.777156711
"Bare naked ladies 4th vintage (not today😂). It's hot here for mid-October, mid 80sF (30C). SB helped🥵. Structured, complex & aromatic; the vintage I've enjoyed the most so far.

Pale yellow👁, aromas of elderflower, pineapple🍍, melon, citrus zest & the barest😉 hint of green herbs.

Dry but ripe. Round & lush palate, med-full body (14%). Balanced by the crisp, med(+)acidity.

Unctuous palate of white peach🍑, quince & lychee. Vanilla & a sprinkle of white pepper mid👅. Chalky slate finish with a saline edge.",talks about taste,0.419255406
"Pale in the color. On the nose citrus pear peach oak tropical lemon melon pineapple cream butter green apple stone fruit honeyamazing nose. On the mouth pairs the nose has an oak, citrus, cream toasted coconut has a medium-full body for a Sauvignon Blanc, medium acidity, medium-long finish. Very good wine.",talks about taste,0.431948006
"This Sb thinks its a chardonnay. And its great. As a matter of fact, it is a chardonnay. Or at least a killer white bordeaux blend. Top notch somms would swear that this is a chard. Not the leafy vegetable. 

Wow. Yum. You guys do it up. Not cheap, mind you. But goooood. 

I love this. Balance balance balance.  This is delicious white wine. Ty for this",talks about taste,0.337579221
"Barrel fermented with lees stiring
Open quite grassy and evolves to white peach, floral (frangipani), corn and a touch of vanilla.
The palate has moderate acidity, good concentration, firm texture, a slightly warming alcohol with a touch of bitterness and good length.
This really benefits from aeration. It became a lot more aromatic and gained weight. Drinking well now, but should evolve in bottle for another 2-3years.",talks about food combinations,0.449436128
"Pale lemon in color with a youthful medium plus intensity on the nose. Citrus, oak, peach, pear, tropical fruit, melon, cream. Dry, medium plus acid, full bodied, high alcohol and medium plus intensity on the body. Long finish. Oak, cream, vanilla, citrus, lemon, tropical fruit. This wine definitely sees some oak aging and is not your NZ zippy sauv Blanc. Minerals. Outstanding quality of wine. Can drink now, suitable for aging.",other,0.41747722
"@[1|63584282|Abbey Weis] blinded me. Appearance: pale lemon-green, no rim variation. Nose: med intensity. White blossom, honeysuckle. Green apple, yellow apple. Something metallic. White peach, bruised apple, candied. Oil. Tropical. Palate: dry, but not exactly - heavy fruit. Medium acid. Med+ body. Luscious mouthfeel. High alcohol. Med+ flavor intensity. Minerality, white pepper or spice. Oak? Peach, banana, bitter acidity, red apple. Ripe fruits. Finish is med to med+ - Bitter acidity. Guessed NY Riesling. Good!",talks about taste,0.410466075
"Very elegant with Medium intensity aromas and flavors of apple, pineapple, apricot, white peach, nectarine, elderflower, brioche, clove, vanilla and smoke.
Hint of dried apricot and honey.
Very good quality, balancing aromatics with a hint of oak. Interesting style with batonnage, 18% new French oak.",talks about taste,0.437588841
"4.1pts.
Merry Edwards
Sauvignon Blanc 2022.
This is the first time for me to taste this beautiful Sauvignon Blanc.
Merry Edwards Winery was founded in 1997 by one of California’s first highly successful female winemakers.
The winery’s vineyards are influenced by the Pacific Ocean, cooling fog, sandy soils and other attributes that lead to the production of rich, ageable wines.
Silky smooth, bright acidity, complex and balanced.
Aroma from lemon, pineapple, lime zest, acacia, melon, vanilla and minerals.",talks about taste,0.445012927
Absolutely amazing Sauvignon Blanc. Fruity and very soft with mostly citrus and maybe some green apple. Very well built and équilibrated . Soft but flavorful. Pairs very well with light seafood like scallops.,talks about food combinations,0.480572462
"wonderful peach… full, sweet sauv b",talks about taste,0.588324726
"Buttery, pear, good amount of sweetness, refreshing, pairs well with fish ",talks about food combinations,0.461960971
All time favorite Sauvignon Blanc beautiful honeysuckle and floral notes. Can’t describe the magic on my tongue! So amazing. ,talks about taste,0.61716187
I got the yummy in my mouth and it’s because of you.,talks about taste,0.894357622
"Light, slightly dry & mildly acidic with notes of melon, peach, citrus, caramel, butter and oak",talks about food combinations,0.572082281
Tropical yet fresh. ,other,0.505102336
"The 2019 didn’t disappoint. Pear forward with a hint of melon, slightly citrus finish balanced perfectly with boiled lobster.",talks about food combinations,0.457734764
Beautiful wine.  Agree with WS94 notes.  ,talks about taste,0.637309253
Big Canyon wine tasting.  ,talks about taste,0.86662209
Smoky...and smooth and sultry.  Enjoy.,talks about taste,0.48350516
"Just a fabulous, balanced near perfect wine.",talks about taste,0.650641024
Omg. These grapes were pressed into service against their will.  Better than dying on the vine.,other,0.456542999
Its more a sauvignon than a blanc. Sophisticated and is more rounded than your average blanc. Its reaaal good. Never disappoints but its just a bit expensive for a bottle of white wine isnt it?,talks about taste,0.374703377
"Had at John & Gail’s, incredibly light and yummy ",talks about taste,0.580524564
citrus oak peach pear tropical melon,talks about food combinations,0.489850461
Soft and smooth. Not acidic.  A Sauvignon blanc for the Chardonnay lover ,talks about taste,0.544436514
"Pear on the nose and palette. Floral, light honey, melon, touch of butter. On the sweeter side but with crisp acidity, heavier body, almost jammy. Complex, refreshing, delightful.",talks about taste,0.554275811
"柑橘類 オーク 桃 洋梨 トロピカル風 メロン グレープフルーツ パイナップル
The wine is an excellent white. That's great as it is sharp and dry. That doesn't emphasize grape sweetness",talks about food combinations,0.494254351
"2019 4.5 pts No Indian barbeque is complete without this bottle. This time we pared it with light tomato-based egg curry, and it worked like a charm.",talks about food combinations,0.667744935
"Caramel, grass, butter, and citrus on the nose.  Further tastes of grapefruit, lemon, pear, and vanilla.  Very good Sauvignon blanc",talks about food combinations,0.719585121
"Clean, pure, balanced. Well-integrated fruit.  Calming nose.  Slight pepper finish.  As good as you’re going to get from a Cali White.",talks about food combinations,0.440428883
"Nice and pleasant wine. Sweeter initially then I expected, but still not overbearing and at the right moment pivots off to a crisp finish. ",talks about taste,0.690949261
"Beautiful, crisp White.  Similar to some of the nice Bordeaux whites.  Worth the extra money if you like a fuller body savignon blanc vs. a thinner less expensive one.",talks about value for money,0.808941901
"Great Wine, oak shows but not as much as a Chardonnay.  Not as crisp and acidic as typical sauvignon blanc. Would definitely buy again. ",other,0.501567304
"A really superior Sauvignon Blanc, rich and complex.  Pear, apple, citrus , honeydew and honey with moderate acidity.  Honey lingers on the palate. A real treat",talks about food combinations,0.452684015
"Slightly on the heavier side for a sauv blanc with a little oakiness.  Lots tropical fruit, stone fruit, some pear and a bit of citrus.  A bit of spice and vanilla.  Very smooth finish.  ",talks about food combinations,0.535845518
"Dark straw color.  Medium to full body for a Sauvignon Blanc.  Well balanced with light acidity.  Delicious grapefruit, honey, apple and ripe pineapple.  Long finish with  light minerals.",talks about food combinations,0.67433089
One of the better whites I’ve tasted in while.  Earthy and floral aroma.  Bold fruit upfront that settles into a very mince finish.  Not too sweet and not too sour!  Just right!,talks about taste,0.617678881
"Pale yellow with pleasing aromas of citrus and tropical fruits, adding in spice and some biscuit notes. On the palate complex palate of flavors, fresh fruit, pineapple, lemon, grapefruit, peaches and Asian pears. Slight earthiness with a smooth and creamy well balanced finish ending with a gentle yeasty character. Very nice! Consistent quality! Will age well!",talks about taste,0.537944674
"One of my all time fav wines - hugely tropical, with floral notes and honey dew melon. Tastes sweet but is dry. Medium body and very elegant",talks about taste,0.534697831
"Clear, pale lemon. Clean, medium plus intensity aroma of pineapple, honeysuckle, lemon curd. Dry, medium plus acidity, medium body and long finish.",other,0.348373622
Great sauv Blanc. Rich and fruity. Plenty of thick citrus flavor. It's velvety and buttery texture pairs nice with the deep pear and melon notes that appear at the finish. Probably the best sauv Blanc I've had. The oak is there but not overly perceptible. I'm so impressed at the balance of this wine. It doesn't do anything funky and let's you settle into a great summer day afternoon drink.,talks about taste,0.649407268
"2017 Vintage 
Enjoyed August 2019. 
Needed very little time to open. Quite an enjoyable Sauv Blanc. My notes are similar to those of Rocky T. Smooth, creamy, wonderful hints of citrus, melon with the addition of pear and peach flavors. Nice oak notes. I can understand if this would be too sweet or fruity for some, but I find that to be valuable to this SB, memorable, wanting more. This will be a go to for me. 
4.5-4.75",talks about food combinations,0.396625102
"Wow, this is a real treat, a beautifully balanced Cali sauvignon blanc. On the nose, there is a honeyed tropicality which partners with the usual grassy grapefruit. The palate unfolds as I taste more, with an ethereal body complementing the vibrant acidity. A finish for days. A truly lovely wine.

Thank you for the lovely gift, @[1|3969744|Carlos V]!",talks about taste,0.770302534
"This may be the best CA Sauvignon Blanc I’ve had. Fantastic structure though not overly acidic and slightly creamy mouthfeel. Complex wine with lingering finish. Lemon, lemon curd, floral notes. Super impressed with this wine.",talks about taste,0.641308367
"Great Sauvignon blanc from one of our favorite producers. Sharp and acidic with a bit more alcohol than a typical Sauvignon blanc, this is a big bold wine. Melon pear apple and other tree fruits. It’s decadent while also being crisp. A great choice on a warm summer night. Can’t wait for the next bottle of this.",talks about taste,0.502195477
"This is a consistently excellent Sauvignon Blanc from a steroid producer. The color is pale and straw. The nose and palate are perfectly synchronized with lovely notes of honeydew, apple, pear, and pineapple. There is none of that yucky acidic, grapefruit note that most producers are known for. The acidity is spot on. Delicious.",talks about food combinations,0.396365643
"Dominus the Palate: Dominus & Beyond wine dinner at The Oven with Roland Herman, maison marques + domaines, attended with Nat & Ellingson’s 6/19/24. Merry was one of California’s first women winemakers & hated Sauv Blanc so drinks more like a Chardonnay. 1/3 highly floral Sauvignon Musque clone from Sancerre & 2/3 Shenandoah clone with classic herbal & grassy character. 18% new pack 6mo with biweekly lees stirring. Melon, apple & hints of kiwi. Paired with Bhutanese Vege. $59",talks about food combinations,0.773263335
"One of my all time favorite Sav Blancs, beautiful floral aroma, with a mix of citrus and melon, beautifully balanced with the right crispness. Exceptional.",talks about food combinations,0.682082057
"Wow!  As a nightcap watching my Falcons !

Huge nectarine, orange peel, soft vanilla infused oak moment.  Aging has added a subtle enjoyable oxidation! Wow!!! ",talks about food combinations,0.720120013
"Absolutely amazing burst of citrus with notes of honey, apricot, and pear. Would drink again and again. Paired it with a vegetable orzo in caramelized tomato sauce with shrimp.",talks about food combinations,0.739084005
"Would have guessed it was a chard almost. Really smooth. Very different than any other sav blanc and in a good/cool way
",other,0.461030513
2018 vintage.  Light and clean color.  Melon notes and pepper and high powered finish.  Would buy again.,talks about food combinations,0.649608135
citrus oak peach pear tropical melon cream grapefruit lemon pineapple minerals apple apricot honeysuckle stone fruit,talks about food combinations,0.444112599
Tropical fruits.  My favorite sauv blanc.  Loses flavors if gets too warm.  Just cool it down and the flavors come back.,talks about taste,0.614595652
citrus oak peach pear tropical melon cream butter grapefruit lemon pineapple vanilla minerals apple honey stone green apple honeysuckle,talks about food combinations,0.556643248
"Brought this home from winery. Fresh, light, crisp but still very flavorful and well balanced. Would definitely get again.",talks about taste,0.764701307
"One of the best Sauvignon Blancs on this continent.  Body, balance, and depth are spot on. Flavors of citrus, tropical fruit, with good minerality and acidity.",talks about taste,0.4250696
"Pale green gold in the glass. Pineapple, tropical fruits on the nose with bright acidity. Green apple, stone and a lingering finish. Absolutely fantastic always.",talks about food combinations,0.338965029
Sept with the Kwon’s. Best combination of Sav Blanc and Chardonnay flavors,talks about taste,0.517006099
Just really good. ,talks about taste,0.729780018
Outstanding white. I taste citrus and peach,talks about taste,0.695451677
citrus oak pear grapefruit,talks about taste,0.386733711
grapefruit pear cream oak lime guava,talks about food combinations,0.323510528
"As good as a Sauvignon Blanc can get. It’s soft, crisp, and full of flavor. Highly recommend!",talks about taste,0.898365319
Honeysuckle floral lemon curd. Big bold flavors very light color. Super cool.,talks about taste,0.655540109
"One of the most unusual, unique sauvignon blancs I have ever had. It's more round, less crisp, but still refreshing. Loved it. ",other,0.453985393
This is an outstanding sav blanc- really enjoyed this l. Definitely will be buying more of this,other,0.327814966
At home:  peach cream yummy,talks about taste,0.639903724
"Delicious as always. Crisp green apples, melon, honey, citrus, yeast, and hay.",talks about food combinations,0.649066508
"Peach, sweet melon and vanilla ",talks about food combinations,0.719240844
Fruity - peach and pineapple,talks about food combinations,0.629448175
Nose to taste butter orchide peach taste to pallet Quincy peach pear lychi ,talks about taste,0.758803606
"Green apple, light stone fruits, more medium body and less crisp than the NZ offerings.  ",talks about food combinations,0.711826444
"Light, fruity, pear and caramel with a hint of oak a s cinnamon ",talks about food combinations,0.576417863
"Light, buttery Sauv Blanc. Excellent with the Sea Bass at Kaluuz",talks about food combinations,0.458473414
4.3 Sharp tarty apple with a bretty flavor and a dry viney finish.,talks about taste,0.786527455
Just love it,other,0.417320967
Excellent acidity and balance of fruit and alcohol. ,talks about food combinations,0.673995674
Smooth and fruity. Great with seafood. ,talks about food combinations,0.687946618
"Good acidity, balance, rounded body and lots of fruit. Lovely minerality, citrus and stone fruits",talks about taste,0.41110599
Pineapples and creamy.,talks about food combinations,0.676814675
Best SB in the entire New World. ,talks about value for money,0.455049396
Beautiful. I thought the 2018 was significantly better than the 2016. This brand went a long way to earning my trust back! Will revisit. ,other,0.720969856
Chef Tre dinner Oct2020,talks about taste,0.463727325
Nice melon wine. If you look at the label,talks about taste,0.388107806
"Creamy, very smooth, very low tannins , not fruit forward , lovely ",talks about taste,0.51614958
One of my all time favorites. ,other,0.55220747
One of my favorite wines. ,talks about taste,0.625913262
"Consistently delicious wine! Stone fruits, round mouthful, medium full body, long finish. ",talks about taste,0.702874124
One of my favorite whites!  Perfect for the summer ,other,0.367135316
"As Sauv Blancs go....THIS IS STELLER!!!!  Crisp, clean, sugar Brix balanced and worth every dime +",talks about taste,0.518915951
"Interesting, unusual Sauvignon Blanc. Would rather pair it with poultry than with seafood. ",talks about food combinations,0.63026464
"Super clean. Fruity, full bodied, ripe but still balanced with the acidity. Thanks Stephen ",talks about taste,0.554422081
"Smooth, pear, and apple notes. Just delightful ",talks about food combinations,0.438358217
"Light, great flavor",talks about taste,0.909255445
Delightful sauv blanc. Long and complex. ,other,0.675865173
Fruit with good acidity. Smooth,talks about taste,0.43840459
Love love love 💗 SB with a long finish and such complexity ,talks about taste,0.456384659
"Simply delicious summer fare.  However, similar quality available from down under for much less $. Enjoy.",talks about value for money,0.428628117
"had the 2019. pretty solid sauv blanc— had nice balance and reasonable complexity without too many vegetal elements. got notes of carmelized pear, hay, lemongrass, and crisp green apple. some ML occurred, as i felt it on the palate and in the slight butter flavors. however, not worth $50.",talks about food combinations,0.469199568
Had in Vegas - just tasted since I ordered for everyone.  Sweeter. On the floral side.  Good for wine newbies.  Not overly complex.  Not boring though.  Fruity bouquet and pleasing to the masses. ,talks about taste,0.735364974
"Flavors of tropical fruit are dominant, but also melon, pear, lemon, floral honeysuckle, and definitely spent some time in oak with butter and sur lie with that creaminess.",talks about food combinations,0.669456184
"Beautiful Sauvignon Blanc with intense, ripe fruits. Citrus, mango, pineapple, balanced 
",talks about food combinations,0.598029435
Wonderful fruit forward very drinkable wine!,talks about taste,0.45054242
"4.7
The king of CA SB! I’ve loved the 2019 vintage from high quality producers and Merry Edwards doesn’t disappoint! Rich lemon oil, apricot, honeysuckle. Smooth like a Chablis!",talks about food combinations,0.684131682
"Medium-bodied, off-dry and aromatic, melon, peach, lemon, kumquat, vanilla, chamomile, cotton candy, white flowers, marshmallow, butter, white pepper, cream, straw, oak",talks about food combinations,0.566927314
"Smooth,  but seems sweet for a sauv blanc.  Very light lemon,  lower acidity, melon,  butter,  pineapple,  easy to drink,  chicken picatta made this taste sweet",talks about taste,0.546934605
Merry Edwards and happy kwanza! This bomb ass dank ass (BADA) slashes the palette with orange PEEL and lemon PITH. Don’t get your citrus anatomy twisted,talks about food combinations,0.402064174
Has a sweet note though finishes more dry. In a pinch seems okay but not my favorite!,talks about taste,0.566441834
Still luscious and delicious it has a great lemon Crisp pear ,talks about taste,0.6906991
"Floral, vanilla, melon, orange, clementine, pineapple, lychee",talks about food combinations,0.701272607
citrus peach pear tropical melon cream Wauv! ,talks about food combinations,0.355203331
Smooth! Surprising SB! Epic French Dinner 2023,talks about food combinations,0.343942195
"Interesting sauv blanc, drinks like a chardonnay",talks about taste,0.468604088
USeX2 tasting citrus oak peach pear tropical melon cream butter ,talks about taste,0.847249568
Very good. Not sure how an SB is going to rate more than 4 starts from me.  citrus tangerine,talks about taste,0.520197868
Apple pear mint. Easy going white. ,talks about taste,0.385600477
"Clean opening, slowly creamy aroma of honey appears. At Enoteca after shopping.",other,0.292577446
Silky smooth with a beautiful light nose. What a SB should be when it isn't a grapefruit bomb.,other,0.343987703
"pear
green apple
zest",talks about taste,0.49648875
"Red, white and blue tasting. Lightly oaked. Tropical fruit.",talks about taste,0.562322617
"Floral, bananas, great easy to drink",talks about food combinations,0.688209236
"Wet grass on the nose with hints of lemon, honeysuckle, and cantaloupe. Nice wine.",talks about taste,0.501573384
"Very well made
 citrus peach tropical pear minerals
Excellent quality to price ratio",talks about value for money,0.552313447
Drank Sept 2023 at California Grill: Pear and tangerine,talks about food combinations,0.746935666
"Phenomenal aperitif. Sour gasoline on the nose with unripe citrus fruits. Finish has medium acidity but a surprisingly subtle, creamy finish. ",talks about taste,0.437897235
"Incredible Sauvignon Blanc. Honeydew melon, nectarine, some hints of lime and some kind of hazelnut notes. Just really enjoyable",talks about food combinations,0.630639732
Wow! Green apple with citrus and mineral undertones with very nice balance and smoothness. Not tart at all. Will definitely stock up on for summer ,talks about taste,0.479339927
"CA SB probably does t get better than this. Medium bodied and elegant with lemon tart, nectarine, and tropical fruit. Pricy for SB but worth it.",talks about food combinations,0.42371285
"Wine 2...

First RR SB and what an experience.  Oak with SB, so interesting.  Complex, buttery, lemony, straight up delicious!",talks about taste,0.557083547
"Always top quality Sauvignon, but at a premium. Citrus on the nose leads to creamy pear, honeydew and grapefruit. Intoxicating.",talks about food combinations,0.412547797
Amazing SB. Finishes with some strong minerality with a melon ball.  Get a juicy stone fruit in there.  Not green apple.but citrus,talks about taste,0.339137644
"Citrus zest on nose, medium body, dry, acidic, complex palate.  Outstanding Sauvignon Blanc for a good price.  Merry Edwards rocks!  93/100.",talks about taste,0.555207133
"An exquisite wine.  So much floral and fruit aromas.  Not the usual grassy nose that is common for the varietal. A very classy, elegant wine. ",other,0.545296192
"Beautiful as always. Perfect with so many foods, especially on Valentine's. This wine never fails to impress. Merry's  version of SB is sublime. ",talks about food combinations,0.831115663
